Year,Sector,Total Renewable Energy
2000,Commerical,127.223
2000,Electric Power,1447.411
2000,Industrial,1900.034
2000,Residential,486.044
2000,Transportation,0.0
2001,Commerical,100.378
2001,Electric Power,1138.173
2001,Industrial,1696.967
2001,Residential,434.295
2001,Transportation,0.0
2002,Commerical,104.053
2002,Electric Power,1355.4379999999999
2002,Industrial,1693.872
2002,Residential,443.119
2002,Transportation,0.0
2003,Commerical,112.837
2003,Electric Power,1412.776
2003,Industrial,1696.084
2003,Residential,464.374
2003,Transportation,0.0
2004,Commerical,118.056
2004,Electric Power,1393.22
2004,Industrial,1829.94
2004,Residential,474.597
2004,Transportation,0.0
2005,Commerical,119.584
2005,Electric Power,1429.61
2005,Industrial,1849.426
2005,Residential,495.267
2005,Transportation,0.0
2006,Commerical,117.815
2006,Electric Power,1531.34
2006,Industrial,1906.471
2006,Residential,449.65
2006,Transportation,0.0
2007,Commerical,118.555
2007,Electric Power,1431.836
2007,Industrial,1947.115
2007,Residential,495.433
2007,Transportation,0.0
2008,Commerical,126.131
2008,Electric Power,1541.318
2008,Industrial,2023.431
2008,Residential,552.254
2008,Transportation,0.0
2009,Commerical,131.239
2009,Electric Power,1673.738
2009,Industrial,1959.396
2009,Residential,593.2
2009,Transportation,0.0
2010,Commerical,133.586
2010,Electric Power,1720.161
2010,Industrial,2331.063
2010,Residential,636.332
2010,Transportation,0.0
2011,Commerical,141.143
2011,Electric Power,1988.146
2011,Industrial,2386.527
2011,Residential,626.097
2011,Transportation,0.0
2012,Commerical,139.413
2012,Electric Power,1934.594
2012,Industrial,2363.365
2012,Residential,543.972
2012,Transportation,0.0
2013,Commerical,154.979
2013,Electric Power,2029.916
2013,Industrial,2426.6730000000002
2013,Residential,682.962
2013,Transportation,0.0
2014,Commerical,165.899
2014,Electric Power,2143.074
2014,Industrial,2478.362
2014,Residential,697.379
2014,Transportation,0.0
2015,Commerical,192.96
2015,Electric Power,2157.712
2015,Industrial,2488.546
2015,Residential,639.2139999999999
2015,Transportation,0.0
2016,Commerical,201.376
2016,Electric Power,2362.697
2016,Industrial,2502.954
2016,Residential,584.074
2016,Transportation,0.0
2017,Commerical,205.395
2017,Electric Power,2629.879
2017,Industrial,2492.8559999999998
2017,Residential,581.702
2017,Transportation,0.0
2018,Commerical,212.881
2018,Electric Power,2689.08
2018,Industrial,2488.978
2018,Residential,687.896
2018,Transportation,0.0
2019,Commerical,211.273
2019,Electric Power,2729.237
2019,Industrial,2435.225
2019,Residential,721.493
2019,Transportation,0.0
2020,Commerical,215.397
2020,Electric Power,2901.833
2020,Industrial,2291.948
2020,Residential,535.895
2020,Transportation,0.0
2021,Commerical,225.142
2021,Electric Power,3013.55
2021,Industrial,2357.038
2021,Residential,552.554
2021,Transportation,0.0
2022,Commerical,273.558
2022,Electric Power,3262.642
2022,Industrial,2319.759
2022,Residential,661.742
2022,Transportation,0.0
2023,Commerical,274.657
2023,Electric Power,3207.4809999999998
2023,Industrial,2249.339
2023,Residential,724.69
2023,Transportation,0.0
