Year,Solar Energy,Wind Energy
2000,59.348,19.083
2001,56.97,22.989
2002,55.127,35.329
2003,53.573,38.172
2004,53.02,48.26
2005,51.94,60.769999999999996
2006,54.095,90.724
2007,56.946,117.543
2008,61.099,188.898
2009,62.523,252.099
2010,67.852,322.954
2011,76.126,410.043
2012,93.795,480.48600000000005
2013,119.651,572.667
2014,161.051,619.804
2015,196.175,650.731
2016,250.886,774.498
2017,328.62,867.679
2018,383.637,930.343
2019,429.75100000000003,1009.553
2020,511.313,1153.042
2021,626.862,1290.4089999999999
2022,764.582,1481.8229999999999
2023,877.539,1450.903
