Year,Month,Conventional Hydroelectric Power
2020,1,83.179
2020,2,87.83
2020,3,80.807
2020,4,78.702
2020,5,101.852
2020,6,95.21
2020,7,90.955
2020,8,79.17
2020,9,63.499
2020,10,63.952
2020,11,71.006
2020,12,73.048
2021,1,83.42
2021,2,68.42
2021,3,71.976
2021,4,65.777
2021,5,79.163
2021,6,79.739
2021,7,75.059
2021,8,69.049
2021,9,57.759
2021,10,58.138
2021,11,65.757
2021,12,80.077
2022,1,82.218
2022,2,72.391
2022,3,82.917
2022,4,68.046
2022,5,79.323
2022,6,88.362
2022,7,83.555
2022,8,71.823
2022,9,57.825
2022,10,48.794
2022,11,60.797
2022,12,69.325
2023,1,75.655
2023,2,63.408
2023,3,68.556
2023,4,59.338
2023,5,93.261
2023,6,66.135
2023,7,72.011
2023,8,71.735
2023,9,55.919
2023,10,61.371
2023,11,61.456
2023,12,65.64
