Year,Sector,Total Renewable Energy
2000,Commerical,10.598
2000,Electric Power,126.069
2000,Industrial,132.924
2000,Residential,39.414
2000,Transportation,0.0
2000,Commerical,10.336
2000,Electric Power,120.215
2000,Industrial,156.126
2000,Residential,37.315
2000,Transportation,0.0
2000,Commerical,11.341
2000,Electric Power,137.556
2000,Industrial,165.154
2000,Residential,40.924
2000,Transportation,0.0
2000,Commerical,11.106
2000,Electric Power,142.999
2000,Industrial,158.419
2000,Residential,40.225
2000,Transportation,0.0
2000,Commerical,11.653
2000,Electric Power,141.278
2000,Industrial,155.074
2000,Residential,41.926
2000,Transportation,0.0
2000,Commerical,10.464
2000,Electric Power,126.051
2000,Industrial,139.354
2000,Residential,40.805
2000,Transportation,0.0
2000,Commerical,10.88
2000,Electric Power,125.75
2000,Industrial,160.876
2000,Residential,42.259
2000,Transportation,0.0
2000,Commerical,10.708
2000,Electric Power,117.615
2000,Industrial,162.689
2000,Residential,42.197
2000,Transportation,0.0
2000,Commerical,10.298
2000,Electric Power,100.428
2000,Industrial,151.073
2000,Residential,40.508
2000,Transportation,0.0
2000,Commerical,10.829
2000,Electric Power,103.048
2000,Industrial,174.211
2000,Residential,41.202
2000,Transportation,0.0
2000,Commerical,10.295
2000,Electric Power,108.789
2000,Industrial,169.711
2000,Residential,39.151
2000,Transportation,0.0
2000,Commerical,8.715
2000,Electric Power,97.613
2000,Industrial,174.423
2000,Residential,40.118
2000,Transportation,0.0
2001,Commerical,8.457
2001,Electric Power,97.919
2001,Industrial,149.428
2001,Residential,35.198
2001,Transportation,0.0
2001,Commerical,7.692
2001,Electric Power,89.163
2001,Industrial,132.305
2001,Residential,32.311
2001,Transportation,0.0
2001,Commerical,8.389
2001,Electric Power,102.673
2001,Industrial,142.164
2001,Residential,36.64
2001,Transportation,0.0
2001,Commerical,8.165
2001,Electric Power,93.221
2001,Industrial,139.522
2001,Residential,36.051
2001,Transportation,0.0
2001,Commerical,8.461
2001,Electric Power,98.196
2001,Industrial,134.633
2001,Residential,37.597
2001,Transportation,0.0
2001,Commerical,8.384
2001,Electric Power,105.696
2001,Industrial,136.182
2001,Residential,36.605
2001,Transportation,0.0
2001,Commerical,8.726
2001,Electric Power,97.61
2001,Industrial,141.561
2001,Residential,37.915
2001,Transportation,0.0
2001,Commerical,8.701
2001,Electric Power,99.965
2001,Industrial,145.634
2001,Residential,37.856
2001,Transportation,0.0
2001,Commerical,8.321
2001,Electric Power,84.753
2001,Industrial,137.78
2001,Residential,36.321
2001,Transportation,0.0
2001,Commerical,8.402
2001,Electric Power,84.822
2001,Industrial,149.121
2001,Residential,36.906
2001,Transportation,0.0
2001,Commerical,8.059
2001,Electric Power,84.328
2001,Industrial,143.257
2001,Residential,35.025
2001,Transportation,0.0
2001,Commerical,8.621
2001,Electric Power,99.827
2001,Industrial,145.38
2001,Residential,35.87
2001,Transportation,0.0
2002,Commerical,8.499
2002,Electric Power,112.195
2002,Industrial,143.79
2002,Residential,36.007
2002,Transportation,0.0
2002,Commerical,7.676
2002,Electric Power,101.062
2002,Industrial,125.635
2002,Residential,33.024
2002,Transportation,0.0
2002,Commerical,8.543
2002,Electric Power,110.216
2002,Industrial,133.046
2002,Residential,37.398
2002,Transportation,0.0
2002,Commerical,8.4
2002,Electric Power,118.274
2002,Industrial,133.29
2002,Residential,36.764
2002,Transportation,0.0
2002,Commerical,8.904
2002,Electric Power,128.21
2002,Industrial,142.215
2002,Residential,38.321
2002,Transportation,0.0
2002,Commerical,8.717
2002,Electric Power,134.759
2002,Industrial,133.198
2002,Residential,37.299
2002,Transportation,0.0
2002,Commerical,9.17
2002,Electric Power,127.356
2002,Industrial,149.056
2002,Residential,38.628
2002,Transportation,0.0
2002,Commerical,9.217
2002,Electric Power,112.908
2002,Industrial,136.504
2002,Residential,38.571
2002,Transportation,0.0
2002,Commerical,8.785
2002,Electric Power,97.522
2002,Industrial,144.656
2002,Residential,37.024
2002,Transportation,0.0
2002,Commerical,8.937
2002,Electric Power,95.877
2002,Industrial,156.386
2002,Residential,37.654
2002,Transportation,0.0
2002,Commerical,8.66
2002,Electric Power,103.97
2002,Industrial,144.39
2002,Residential,35.774
2002,Transportation,0.0
2002,Commerical,8.545
2002,Electric Power,113.089
2002,Industrial,151.706
2002,Residential,36.655
2002,Transportation,0.0
2003,Commerical,9.564
2003,Electric Power,110.511
2003,Industrial,142.18
2003,Residential,37.86
2003,Transportation,0.0
2003,Commerical,8.552
2003,Electric Power,103.045
2003,Industrial,129.379
2003,Residential,34.682
2003,Transportation,0.0
2003,Commerical,9.505
2003,Electric Power,122.327
2003,Industrial,140.552
2003,Residential,39.21
2003,Transportation,0.0
2003,Commerical,9.282
2003,Electric Power,122.595
2003,Industrial,138.977
2003,Residential,38.501
2003,Transportation,0.0
2003,Commerical,9.63
2003,Electric Power,137.489
2003,Industrial,139.329
2003,Residential,40.106
2003,Transportation,0.0
2003,Commerical,9.348
2003,Electric Power,136.776
2003,Industrial,137.458
2003,Residential,39.02
2003,Transportation,0.0
2003,Commerical,9.709
2003,Electric Power,126.645
2003,Industrial,146.977
2003,Residential,40.404
2003,Transportation,0.0
2003,Commerical,9.674
2003,Electric Power,119.952
2003,Industrial,144.045
2003,Residential,40.349
2003,Transportation,0.0
2003,Commerical,9.189
2003,Electric Power,102.049
2003,Industrial,139.02
2003,Residential,38.754
2003,Transportation,0.0
2003,Commerical,9.491
2003,Electric Power,101.177
2003,Industrial,143.782
2003,Residential,39.459
2003,Transportation,0.0
2003,Commerical,9.164
2003,Electric Power,106.223
2003,Industrial,141.404
2003,Residential,37.54
2003,Transportation,0.0
2003,Commerical,9.729
2003,Electric Power,123.987
2003,Industrial,152.981
2003,Residential,38.489
2003,Transportation,0.0
2004,Commerical,9.897
2004,Electric Power,117.939
2004,Industrial,158.209
2004,Residential,38.654
2004,Transportation,0.0
2004,Commerical,9.297
2004,Electric Power,109.225
2004,Industrial,144.908
2004,Residential,36.55
2004,Transportation,0.0
2004,Commerical,9.843
2004,Electric Power,118.907
2004,Industrial,150.631
2004,Residential,39.984
2004,Transportation,0.0
2004,Commerical,9.769
2004,Electric Power,109.238
2004,Industrial,153.467
2004,Residential,39.241
2004,Transportation,0.0
2004,Commerical,10.048
2004,Electric Power,122.835
2004,Industrial,146.819
2004,Residential,40.866
